id,categoria,titulo,descripcion,contacto,ubicacion,fecha_publicacion,hora_publicacion,imagenes_urls,imagen_url,fecha_expiracion,esta_activo,es_historico,fuente_original,edicion_numero,fecha_publicacion_original,contactos_multiples,tamaño
wGHO6wmySs,empleos,VETERINARIOS DE LOS POBRES A DOMICILIO CAMPAÑA A PRECIOS ECONOMICOS,"Peluquería con baño y desparasitación S/25, vacuna y desp. S/.30, anticonceptivo S/26, esterilización hembra desde S/.35 a 70, esterilización de macho aprox. S/.20, limpieza dental de sarro S/30. Extracción dental. Eutanasia aprox. S/35. Venta de Golden Retriever. Gatos y cachorros damos en adopción. Para la atención reservar CUPO al WhatsApp",924349665,"Cusco, Perú",2024-06-20,09:00,,,,false,true,rueda_negocios,R2538,2024-06-20,"[{""tipo"":""whatsapp"",""valor"":""924349665"",""principal"":true}]",mediano
5TDSIb-hOS,inmuebles,VENTA DE DEPARTAMENTOS Trato directo con el propietario Ofrece departamentos,"VENTAS MINI DEPARTAMENTOS de 2 habitaciones desde $40,000 a más en Av. Costaneras (paradero Virgen del Carmen). VENTAS DEPARTAMENTOS desde $70,000, en Urb. Túpac Amaru, San Sebastián, de 3 dormitorios, sala, comedor, cocina y 2 baños. Informes: San Jerónimo paradero San Juan (ex Banco de la Nación) Razón Cels. , , , . 084-217140",956717470,"Túpac Amaru, San Sebastián, Cusco, Perú",2024-06-20,09:00,,,,false,true,rueda_negocios,R2538,2024-06-20,"[{""tipo"":""telefono"",""valor"":""956717470"",""principal"":true},{""tipo"":""telefono"",""valor"":""953278234"",""principal"":false},{""tipo"":""telefono"",""valor"":""913104198"",""principal"":false}]",mediano
evx6hvuzWd,inmuebles,POR OCASIÓN VENDO DÚPLEX DE 200 M² Y DEPARTAMENTO DE,"220 M² En calle Bellavista Huancaro “Edificio Concordia”, ambos constan de sala, comedor, cocina con reposteros altos y bajos, 3 dormitorios, 3 baños, lavandería, ascensor y estacionamiento. Precio a tratar. los Cels. ,",984237167,"Cusco, Perú",2024-06-20,09:00,,,,false,true,rueda_negocios,R2538,2024-06-20,"[{""tipo"":""telefono"",""valor"":""984237167"",""principal"":true},{""tipo"":""telefono"",""valor"":""958192254"",""principal"":false}]",pequeño
ZGCHdX_-sa,empleos,POLLERIA DAYANA Requiere el siguiente personal,"• 01 Ayudante de cocina de preferencia que sea varón con experiencia • 01 Maestro pollero con experiencia • 01 Motorizado • Personal de limpieza (Sede Paradero Penal) • 01 Barman (Sede Paradero Penal) • Mozos medio tiempo turno tarde Entrevistas en Urb. Túpac Amaru N-1 Lote 9, San Sebastián (plazoleta Micaela Bastidas – Frente a la “U” Andina), partir de 12:00 pm al (LAS ENTREVISTAS SON PRESENCIALES)",984255309,"San Sebastián, Cusco, Perú",2024-06-20,09:00,,,,false,true,rueda_negocios,R2538,2024-06-20,"[{""tipo"":""telefono"",""valor"":""984255309"",""principal"":true}]",mediano
o8x-HTzMR7,inmuebles,TERRENOS EN VENTA AL FRENTE DE LA LAGUNA DE HUAYPO.,"DESDE S/.30,000 LOTES DESDE 120 m² RAZON ,",991465833,"Cusco, Perú",2024-06-20,09:00,,,,false,true,rueda_negocios,R2538,2024-06-20,"[{""tipo"":""telefono"",""valor"":""991465833"",""principal"":true},{""tipo"":""telefono"",""valor"":""908644771"",""principal"":false}]",pequeño
4a_ySvVxRq,inmuebles,POR OCASIÓN VENDO TERRENO EN URB. LARAPA • Área 160,m² • Precio negociable • Trato directo con el propietario • Documentos en regla • Financiamiento con Banco,994936666,"Cusco, Perú",2024-06-20,09:00,,,,false,true,rueda_negocios,R2538,2024-06-20,"[{""tipo"":""telefono"",""valor"":""994936666"",""principal"":true}]",pequeño
3su5lVN_MA,inmuebles,Casa Hogar Adulto OFRECE,"• Profesionales capacitados para atención al adulto mayor: • Evaluación médica psiquiátrica y psicológica permanente • Enfermería las 24 horas (control de signos vitales todos los días) • Alimentación balanceada supervisada por nutricionista Buena infraestructura: • Amplias áreas verdes y árboles frutales • Habitaciones amplias, acogedoras, con iluminación natural, privadas y colectivas • Baños propios y comunes • Salón de juegos y diversión • Lavandería Otros servicios: • Transporte y acompañamiento a consultas medicas • Ambulancia las 24 horas (emergencias) • Estacionamiento privado Ubícanos en Prolongación Grau (costado de aldeas infantiles y Colegio Didaskalio) los n , , Facebook: “Casa Hogar Adulto”",964211120,"Cusco, Perú",2024-06-20,09:00,,,,false,true,rueda_negocios,R2538,2024-06-20,"[{""tipo"":""telefono"",""valor"":""964211120"",""principal"":true},{""tipo"":""telefono"",""valor"":""984898702"",""principal"":false},{""tipo"":""telefono"",""valor"":""997488977"",""principal"":false}]",mediano
Jot6_yU_Vn,inmuebles,"ALQUILO LOCAL DE 50 m² CON VENTANA A LA CALLE,","BAÑO Y SERVICIOS INDEPENDIENTES; A UNOS PASOS DEL MERCADO SAN PEDRO CUSCO, EN CALLE NUEVA Nº455 CENTRO COMERCIAL “IMPERIO INCA”, 2do. PISO, Of. 201 (FRENTE AL C.C. TAHUANTINSUYO). IDEAL PARA CONSULTORIO DENTAL OBSTÉTRICO Y OTROS. INFORMES",951134744,"Cusco, Cusco, Perú",2024-06-20,09:00,,,,false,true,rueda_negocios,R2538,2024-06-20,"[{""tipo"":""telefono"",""valor"":""951134744"",""principal"":true}]",pequeño
F4rPFogHef,inmuebles,"Alquilo 2 tiendas con un canchón de 500 m², ideal","para taller de mecánica u otros negocios; ubicado en Versalles, Av. Comercio Lote A-4, Larapa - San Jerónimo, paradero , parte alta. Razón Cels. , .",986837783,"San Jerónimo, Cusco, Perú",2024-06-20,09:00,,,,false,true,rueda_negocios,R2538,2024-06-20,"[{""tipo"":""telefono"",""valor"":""986837783"",""principal"":true},{""tipo"":""telefono"",""valor"":""950339825"",""principal"":false}]",pequeño
-2M6SnRwX9,inmuebles,Alquilo restaurante bar de 150 m² totalmente implementado listo para,"trabajar, ubicado en Pasaje Grace Nº614 frente al parque del Koricancha, zona altamente transitable. Razón .",993287303,"Grace, Cusco, Perú",2024-06-20,09:00,,,,false,true,rueda_negocios,R2538,2024-06-20,"[{""tipo"":""telefono"",""valor"":""993287303"",""principal"":true}]",pequeño
m0VSf-UkHj,inmuebles,Se alquila área techada de 100 m² y stands; todos,"ubicados en puente Tupac Amaru – San Sebastián (frente al colegio de Ingenieros). los Cels. ,",984740928,"San Sebastián, Cusco, Perú",2024-06-20,09:00,,,,false,true,rueda_negocios,R2538,2024-06-20,"[{""tipo"":""telefono"",""valor"":""984740928"",""principal"":true},{""tipo"":""telefono"",""valor"":""993783024"",""principal"":false}]",pequeño
qfUYuUNIFR,inmuebles,Se alquila espacio de tienda comercial para venta de frutas,"verduras o carne, por calle Ccascaparo chico. .",953056503,"Cusco, Perú",2024-06-20,09:00,,,,false,true,rueda_negocios,R2538,2024-06-20,"[{""tipo"":""telefono"",""valor"":""953056503"",""principal"":true}]",pequeño
unybYzCWOX,inmuebles,Se alquila espacio en 1er. piso para agencia de venta,"de vuelos aéreos y una oficina en 2do. piso, para agencia de viajes, operadores o similares en Av. Sol primera cuadra cerca de plaza de Armas. Razón , . (ver previa cita)",940672380,"Sol primera cuadra cerca, Cusco, Perú",2024-06-20,09:00,,,,false,true,rueda_negocios,R2538,2024-06-20,"[{""tipo"":""telefono"",""valor"":""940672380"",""principal"":true},{""tipo"":""telefono"",""valor"":""964959904"",""principal"":false}]",pequeño
sCgsTYj0_K,inmuebles,"Se alquila oficina con vista panorámica, ubicada en edificio “El","Roble”, en Av. Micaela Bastidas Nº443, Of. 802 (en esquina de EsSalud). Razón",984779727,"Micaela Bastidas, Cusco, Perú",2024-06-20,09:00,,,,false,true,rueda_negocios,R2538,2024-06-20,"[{""tipo"":""telefono"",""valor"":""984779727"",""principal"":true}]",pequeño
DnAZBlot5T,inmuebles,Se alquila un puesto de venta de frutas en el,"mercado de Ttio. los Cels. , .",950888103,"Cusco, Perú",2024-06-20,09:00,,,,false,true,rueda_negocios,R2538,2024-06-20,"[{""tipo"":""telefono"",""valor"":""950888103"",""principal"":true},{""tipo"":""telefono"",""valor"":""992879829"",""principal"":false}]",pequeño
vRyoO29SWl,inmuebles,Alquilo 2 locales comerciales cuenta con baño privado y lavador,"independiente, ideales para todo tipo de negocio; ubicados en la Av. de la Cultura, paradero Andina de bajada (referencia frente a la Andina-Larapa). Informes Cels. , .",949779857,"de la Cultura, Cusco, Perú",2024-06-20,09:00,,,,false,true,rueda_negocios,R2538,2024-06-20,"[{""tipo"":""telefono"",""valor"":""949779857"",""principal"":true},{""tipo"":""telefono"",""valor"":""921132139"",""principal"":false}]",pequeño
OOjEC8rJx7,inmuebles,Alquilo bonitos locales para Oficinas o Consultorios con baño privado,"y servicios independientes, desde el 1er. piso al 5to. piso; en la Av. de la Cultura Nº 2116, (frente a la Urb. Magisterio, local Tinka), Urb. Santa Rosa de la Guardia Civil - Wánchaq. .",995870971,"Magisterio, Wánchaq, Cusco, Perú",2024-06-20,09:00,,,,false,true,rueda_negocios,R2538,2024-06-20,"[{""tipo"":""telefono"",""valor"":""995870971"",""principal"":true}]",pequeño
DHLYfLTN-b,inmuebles,"Alquilo local comercial (tienda con trastienda) con servicios independientes, ideal","para oficinas, consultorios u otros; excelente ubicación en la Av. Micaela Bastidas (altura del Ministerio de Transportes, frente a SENATI). .",984700400,"Cusco, Perú",2024-06-20,09:00,,,,false,true,rueda_negocios,R2538,2024-06-20,"[{""tipo"":""telefono"",""valor"":""984700400"",""principal"":true}]",pequeño
EFE-RXrXTu,inmuebles,"Alquilo local comercial con altillo, baño y reposteros altos y","bajos con barra, servicios independientes ubicado en paradero Morro, a una cuadra del C.C. El Molino, precio S/750 soles. Razón .",983355263,"Cusco, Perú",2024-06-20,09:00,,,,false,true,rueda_negocios,R2538,2024-06-20,"[{""tipo"":""telefono"",""valor"":""983355263"",""principal"":true}]",pequeño
xbuYJARDmZ,inmuebles,"Alquilo local comercial con baño independiente, ideal para cualquier tipo","de negocio (no restaurante). Y también vendo colchones de 1 plaza de espuma, en Av. Pachacutec cerca al estadio Garcilaso. .",984305065,"Cusco, Perú",2024-06-20,09:00,,,,false,true,rueda_negocios,R2538,2024-06-20,"[{""tipo"":""telefono"",""valor"":""984305065"",""principal"":true}]",pequeño
ZJP0KGUEcp,inmuebles,Alquilo local comercial con baño privado; en Av. Pachacutec (Frente,a Perú Rail). .,932429892,"Cusco, Perú",2024-06-20,09:00,,,,false,true,rueda_negocios,R2538,2024-06-20,"[{""tipo"":""telefono"",""valor"":""932429892"",""principal"":true}]",pequeño
TAyoBPnqAZ,inmuebles,Alquilo local comercial con salón amplio y 2 baños; en,"la Av. de la Cultura (altura de Marcavalle). los Cels. , .",992723595,"Cusco, Perú",2024-06-20,09:00,,,,false,true,rueda_negocios,R2538,2024-06-20,"[{""tipo"":""telefono"",""valor"":""992723595"",""principal"":true},{""tipo"":""telefono"",""valor"":""974781218"",""principal"":false}]",pequeño
